DATE	TIME	BID	ASK	LAST	VOLUME	FLAGS
2022-06-17	18:45:19			61939	3	56
2022-06-17	18:45:19			61939	2	56
2022-06-17	18:45:19			61939	2	56
2022-06-17	18:45:19			61940	2	56
2022-06-17	18:45:19		61942			4
2022-06-17	18:45:19		61934			4
2022-06-17	18:45:20			61934	1	56
2022-06-17	18:45:21	61932				2
2022-06-17	18:45:21			61933	2	88
2022-06-17	18:45:21			61932	7	88
2022-06-17	18:45:21			61932	1	88
2022-06-17	18:45:21		61936			4
2022-06-17	18:45:21			61934	3	56
2022-06-17	18:45:21			61936	1	56
2022-06-17	18:45:21			61932	1	88
2022-06-17	18:45:21			61932	1	88
2022-06-17	18:45:21			61932	1	88
2022-06-17	18:45:21			61932	1	88
2022-06-17	18:45:21	61933	61935			6
2022-06-17	18:45:21		61936			4
2022-06-17	18:45:21			61935	1	56
2022-06-17	18:45:22			61936	1	56
2022-06-17	18:45:22		61937			4
2022-06-17	18:45:22			61936	1	56
2022-06-17	18:45:22		61938			4
2022-06-17	18:45:22			61937	1	56
2022-06-17	18:45:22		61939			4
2022-06-17	18:45:22			61938	1	56
2022-06-17	18:45:22		61934			4
2022-06-17	18:45:23	61931				2
2022-06-17	18:45:23			61933	2	88
2022-06-17	18:45:23			61932	2	88
2022-06-17	18:45:23			61932	2	88
2022-06-17	18:45:23			61931	1	88
2022-06-17	18:45:23	61940	61941			6
2022-06-17	18:45:23			61934	5	56
2022-06-17	18:45:23			61938	2	56
2022-06-17	18:45:23			61939	5	56
2022-06-17	18:45:23			61939	2	56
2022-06-17	18:45:23			61939	1	56
2022-06-17	18:45:23			61940	2	56
2022-06-17	18:45:23		61942			4
2022-06-17	18:45:23			61941	1	56
2022-06-17	18:45:23			61942	2	56
2022-06-17	18:45:24			61940	5	88
2022-06-17	18:45:24			61942	3	56
2022-06-17	18:45:24			61940	1	88
2022-06-17	18:45:24			61940	2	88
2022-06-17	18:45:24			61940	1	88
2022-06-17	18:45:24			61940	1	88
2022-06-17	18:45:24			61940	2	88
2022-06-17	18:45:24			61940	1	88
2022-06-17	18:45:24			61940	1	88
2022-06-17	18:45:24			61940	1	88
2022-06-17	18:45:24			61940	1	88
2022-06-17	18:45:24			61940	1	88
2022-06-17	18:45:25		61950			4
2022-06-17	18:45:25			61942	3	56
2022-06-17	18:45:25			61942	1	56
2022-06-17	18:45:25			61942	1	56
2022-06-17	18:45:25			61943	1	56
2022-06-17	18:45:25			61943	1	56
2022-06-17	18:45:25			61943	2	56
2022-06-17	18:45:25			61943	1	56
2022-06-17	18:45:25			61943	1	56
2022-06-17	18:45:25			61944	10	56
2022-06-17	18:45:25			61944	4	56
2022-06-17	18:45:25			61944	25	56
